,id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pembangunan_manusia,satuan,tahun
0,1,32,JAWA BARAT,3201,KABUPATEN BOGOR,64.35,POIN,2010
1,2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,60.69,POIN,2010
2,3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,58.58,POIN,2010
3,4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,67.28,POIN,2010
4,5,32,JAWA BARAT,3205,KABUPATEN GARUT,60.23,POIN,2010
5,6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,60.21,POIN,2010
6,7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,64.64,POIN,2010
7,8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,64.4,POIN,2010
8,9,32,JAWA BARAT,3209,KABUPATEN CIREBON,63.64,POIN,2010
9,10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,62.3,POIN,2010
10,11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,66.04,POIN,2010
11,12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,60.86,POIN,2010
12,13,32,JAWA BARAT,3213,KABUPATEN SUBANG,63.54,POIN,2010
13,14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,64.93,POIN,2010
14,15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,64.58,POIN,2010
15,16,32,JAWA BARAT,3216,KABUPATEN BEKASI,67.58,POIN,2010
16,17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,61.34,POIN,2010
17,18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,POIN,2010
18,19,32,JAWA BARAT,3271,KOTA BOGOR,71.25,POIN,2010
19,20,32,JAWA BARAT,3272,KOTA SUKABUMI,67.94,POIN,2010
20,21,32,JAWA BARAT,3273,KOTA BANDUNG,77.49,POIN,2010
21,22,32,JAWA BARAT,3274,KOTA CIREBON,70.74,POIN,2010
22,23,32,JAWA BARAT,3275,KOTA BEKASI,76.77,POIN,2010
23,24,32,JAWA BARAT,3276,KOTA DEPOK,76.66,POIN,2010
24,25,32,JAWA BARAT,3277,KOTA CIMAHI,73.76,POIN,2010
25,26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,66.58,POIN,2010
26,27,32,JAWA BARAT,3279,KOTA BANJAR,66.81,POIN,2010
