id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pembangunan_manusia,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,64.35,POIN,2010
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,60.69,POIN,2010
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,58.58,POIN,2010
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,67.28,POIN,2010
5,32,JAWA BARAT,3205,KABUPATEN GARUT,60.23,POIN,2010
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,60.21,POIN,2010
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,64.64,POIN,2010
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,64.4,POIN,2010
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,63.64,POIN,2010
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,62.3,POIN,2010
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,66.04,POIN,2010
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,60.86,POIN,2010
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,63.54,POIN,2010
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,64.93,POIN,2010
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,64.58,POIN,2010
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,67.58,POIN,2010
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,61.34,POIN,2010
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,POIN,2010
19,32,JAWA BARAT,3271,KOTA BOGOR,71.25,POIN,2010
20,32,JAWA BARAT,3272,KOTA SUKABUMI,67.94,POIN,2010
21,32,JAWA BARAT,3273,KOTA BANDUNG,77.49,POIN,2010
22,32,JAWA BARAT,3274,KOTA CIREBON,70.74,POIN,2010
23,32,JAWA BARAT,3275,KOTA BEKASI,76.77,POIN,2010
24,32,JAWA BARAT,3276,KOTA DEPOK,76.66,POIN,2010
25,32,JAWA BARAT,3277,KOTA CIMAHI,73.76,POIN,2010
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,66.58,POIN,2010
27,32,JAWA BARAT,3279,KOTA BANJAR,66.81,POIN,2010
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,64.78,POIN,2011
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,61.14,POIN,2011
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,59.38,POIN,2011
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,67.78,POIN,2011
32,32,JAWA BARAT,3205,KABUPATEN GARUT,60.55,POIN,2011
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,61.05,POIN,2011
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,65.48,POIN,2011
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,65.04,POIN,2011
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,64.17,POIN,2011
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,62.67,POIN,2011
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,66.16,POIN,2011
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,61.47,POIN,2011
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,64.21,POIN,2011
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,65.51,POIN,2011
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,65.21,POIN,2011
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,68.66,POIN,2011
