,id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pembangunan_manusia,satuan,tahun
23,24,32,JAWA BARAT,3276,KOTA DEPOK,76.66,POIN,2010
50,51,32,JAWA BARAT,3276,KOTA DEPOK,76.96,POIN,2011
77,78,32,JAWA BARAT,3276,KOTA DEPOK,77.28,POIN,2012
104,105,32,JAWA BARAT,3276,KOTA DEPOK,78.27,POIN,2013
131,132,32,JAWA BARAT,3276,KOTA DEPOK,78.58,POIN,2014
158,159,32,JAWA BARAT,3276,KOTA DEPOK,79.11,POIN,2015
185,186,32,JAWA BARAT,3276,KOTA DEPOK,79.6,POIN,2016
212,213,32,JAWA BARAT,3276,KOTA DEPOK,79.83,POIN,2017
239,240,32,JAWA BARAT,3276,KOTA DEPOK,80.29,POIN,2018
266,267,32,JAWA BARAT,3276,KOTA DEPOK,80.82,POIN,2019
293,294,32,JAWA BARAT,3276,KOTA DEPOK,80.97,POIN,2020
320,321,32,JAWA BARAT,3276,KOTA DEPOK,81.37,POIN,2021
347,348,32,JAWA BARAT,3276,KOTA DEPOK,81.86,POIN,2022
374,375,32,JAWA BARAT,3276,KOTA DEPOK,82.38,POIN,2023
