,id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pembangunan_manusia,satuan,tahun
17,18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,POIN,2010
44,45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,POIN,2011
71,72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,POIN,2012
98,99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,64.73,POIN,2013
125,126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,65.29,POIN,2014
152,153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,65.62,POIN,2015
179,180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,65.79,POIN,2016
206,207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,66.6,POIN,2017
233,234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,67.44,POIN,2018
260,261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,68.21,POIN,2019
287,288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,68.06,POIN,2020
314,315,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,68.28,POIN,2021
341,342,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,69.03,POIN,2022
368,369,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,69.38,POIN,2023
