,id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pembangunan_manusia,satuan,tahun
20,21,32,JAWA BARAT,3273,KOTA BANDUNG,77.49,POIN,2010
47,48,32,JAWA BARAT,3273,KOTA BANDUNG,78.13,POIN,2011
74,75,32,JAWA BARAT,3273,KOTA BANDUNG,78.3,POIN,2012
101,102,32,JAWA BARAT,3273,KOTA BANDUNG,78.55,POIN,2013
128,129,32,JAWA BARAT,3273,KOTA BANDUNG,78.98,POIN,2014
155,156,32,JAWA BARAT,3273,KOTA BANDUNG,79.67,POIN,2015
182,183,32,JAWA BARAT,3273,KOTA BANDUNG,80.13,POIN,2016
209,210,32,JAWA BARAT,3273,KOTA BANDUNG,80.31,POIN,2017
236,237,32,JAWA BARAT,3273,KOTA BANDUNG,81.06,POIN,2018
263,264,32,JAWA BARAT,3273,KOTA BANDUNG,81.62,POIN,2019
290,291,32,JAWA BARAT,3273,KOTA BANDUNG,81.51,POIN,2020
317,318,32,JAWA BARAT,3273,KOTA BANDUNG,81.96,POIN,2021
344,345,32,JAWA BARAT,3273,KOTA BANDUNG,82.5,POIN,2022
371,372,32,JAWA BARAT,3273,KOTA BANDUNG,83.04,POIN,2023
