nama_kabupaten_kota,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
KABUPATEN BANDUNG,67.28,67.78,68.13,68.58,69.06,70.05,70.69,71.02,71.75,72.41,72.39,72.73,73.16,73.74
KABUPATEN BANDUNG BARAT,61.34,62.36,63.17,63.93,64.27,65.23,65.81,66.63,67.46,68.27,68.08,68.29,69.04,69.61
KABUPATEN BEKASI,67.58,68.66,69.38,70.09,70.51,71.19,71.83,72.63,73.49,73.99,74.07,74.45,75.22,75.76
KABUPATEN BOGOR,64.35,64.78,65.66,66.74,67.36,67.77,68.32,69.13,69.69,70.65,70.4,70.6,71.2,71.78
KABUPATEN CIAMIS,64.64,65.48,66.29,67.2,67.64,68.02,68.45,68.87,69.63,70.39,70.49,70.93,71.45,72.05
KABUPATEN CIANJUR,58.58,59.38,60.28,61.68,62.08,62.42,62.92,63.7,64.62,65.38,65.36,65.56,65.94,66.55
KABUPATEN CIREBON,63.64,64.17,64.48,65.06,65.53,66.07,66.7,67.39,68.05,68.69,68.75,69.12,70.06,70.95
KABUPATEN GARUT,60.23,60.55,61.04,61.67,62.23,63.21,63.64,64.52,65.42,66.22,66.12,66.45,67.41,68.11
KABUPATEN INDRAMAYU,60.86,61.47,62.09,62.98,63.55,64.36,64.78,65.58,66.36,66.97,67.29,67.64,68.55,69.25
KABUPATEN KARAWANG,64.58,65.21,65.97,66.61,67.08,67.66,68.19,69.17,69.89,70.86,70.66,70.94,71.74,72.35
KABUPATEN KUNINGAN,64.4,65.04,65.6,66.16,66.63,67.19,67.51,67.78,68.55,69.12,69.38,69.71,70.16,70.72
KABUPATEN MAJALENGKA,62.3,62.67,63.13,63.71,64.07,64.75,65.25,65.92,66.72,67.52,67.59,67.81,68.56,69.13
KABUPATEN PANGANDARAN,0.0,0.0,0.0,64.73,65.29,65.62,65.79,66.6,67.44,68.21,68.06,68.28,69.03,69.38
KABUPATEN PURWAKARTA,64.93,65.51,66.3,67.09,67.32,67.84,68.56,69.28,69.98,70.67,70.82,70.98,71.56,72.09
KABUPATEN SUBANG,63.54,64.21,64.86,65.48,65.8,66.52,67.14,67.73,68.31,68.69,68.95,69.13,69.87,70.7
KABUPATEN SUKABUMI,60.69,61.14,62.27,63.63,64.07,64.44,65.13,65.49,66.05,66.87,66.88,67.07,67.64,68.49
KABUPATEN SUMEDANG,66.04,66.16,67.36,68.47,68.76,69.29,69.45,70.07,70.99,71.46,71.64,71.8,72.69,73.18
KABUPATEN TASIKMALAYA,60.21,61.05,61.69,62.4,62.79,63.17,63.57,64.14,65.0,65.64,65.67,65.9,66.84,67.76
KOTA BANDUNG,77.49,78.13,78.3,78.55,78.98,79.67,80.13,80.31,81.06,81.62,81.51,81.96,82.5,83.04
KOTA BANJAR,66.81,67.15,67.53,68.01,68.34,69.31,70.09,70.79,71.25,71.75,71.7,71.92,72.55,73.08
KOTA BEKASI,76.77,77.48,77.71,78.63,78.84,79.63,79.95,80.3,81.04,81.59,81.5,81.95,82.46,83.03
KOTA BOGOR,71.25,71.72,72.25,72.86,73.1,73.65,74.5,75.16,75.66,76.23,76.11,76.59,77.17,77.85
KOTA CIMAHI,73.76,74.41,74.99,75.85,76.06,76.42,76.69,76.95,77.56,78.11,77.83,78.06,78.77,79.46
KOTA CIREBON,70.74,71.49,71.97,72.27,72.93,73.34,73.7,74.0,74.35,74.92,74.89,75.25,75.89,76.46
KOTA DEPOK,76.66,76.96,77.28,78.27,78.58,79.11,79.6,79.83,80.29,80.82,80.97,81.37,81.86,82.38
KOTA SUKABUMI,67.94,68.67,69.74,70.81,71.19,71.84,72.33,73.03,73.55,74.31,74.21,74.6,75.4,76.32
KOTA TASIKMALAYA,66.58,67.18,67.84,68.63,69.04,69.99,70.58,71.51,72.03,72.84,73.04,73.31,73.83,74.47
